paper_id,model_version,prompt_version,input_source,manual_label,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp,repair_status
141,gemma-4-26b-a4b-it,V1,abstract,ML,DL,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   ""Automated machine learning (AutoML) has emerged as a clinician-accessible approach to artificial intelligence by automating key stages of model development, including algorithm selection and hyperparameter optimization.""
    *   ""This systematic review aimed to evaluate the application, performance, and translational relevance of AutoML in oral healthcare.""
    *   ""Nineteen primary studies met the inclusion criteria.""
    *   ""AutoML was applied across multiple dental specialties... using heterogeneous data modalities such as radiographic images, clinical records, photographs, and omics data.""
    *   ""Most studies reported strong performance... particularly for imaging-based classification tasks...""
    *   ""Overall, AutoML shows promise in reducing technical barriers and supporting clinician-led artificial intelligence research in dentistry.""

    *   The paper is a *systematic review* of AutoML applications in oral healthcare.
    *   The subject matter is AutoML (Automated Machine Learning).
    *   AutoML is a subfield of Machine Learning (ML) focused on automating the ML pipeline (algorithm selection, hyperparameter tuning).
    *   While it mentions ""artificial intelligence"" and ""imaging-based classification"" (which often uses DL), the core topic being reviewed is the *process* of AutoML.

    *   *AI*: General AI, symbolic reasoning, etc. AutoML is a specific subset of ML.
    *   *ML*: Classical ML, supervised/unsupervised, hyperparameter optimization, algorithm selection. AutoML fits squarely here as it automates ML processes.
    *   *DL*: Neural networks, CNNs, Transformers. While the review mentions imaging (which uses DL), the *primary contribution* of the paper is a review of",8.77,,False,2026-08-09T09:57:56,
142,gemma-4-26b-a4b-it,V1,abstract,Unclear,ML,"*   Topic: Fiber-reinforced ultra-high-performance concrete (FR-UHPC) and its residual flexural strength (RFS) after fire exposure.
    *   Methodology: ""presents and validates a full machine learning-based, interpretable framework"".
    *   Specifics: ""nine state-of-the-art algorithms including the novel hybrid AegisFusion architecture were benchmarked.""
    *   Architecture details: ""AegisFusion is a dual-track neural/tree fusion with MetaSwarm tuning and Bayesian calibration.""
    *   Key components: ""neural/tree fusion"" (combines Deep Learning and Machine Learning), ""MetaSwarm tuning"" (likely an optimization/meta-learning approach), ""Bayesian calibration"".
    *   Evaluation: R², RMSE, VAF, Friedman, Nemenyi, SHAP (explainability).
    *   Primary Contribution: The development and validation of a new hybrid architecture (AegisFusion) that combines neural networks and tree-based methods to predict concrete strength.

    *   AI: General AI, symbolic reasoning, expert systems. (The paper uses specific ML/DL techniques).
    *   ML: Classical ML (supervised/unsupervised, trees, SVMs, etc.).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, etc.).
    *   Unclear: Mix of multiple categories, unable to assign.
    *   None: Not about AI/ML/DL.

    *   The paper introduces ""AegisFusion"", which is a ""dual-track neural/tree fusion"".
    *   ""Neural"" implies Deep Learning (DL).
    *   ""Tree"" implies Machine Learning (ML).
    *   The abstract mentions ""nine state-of-the-art algorithms"" and focuses on the ""novel hybrid AegisFusion architecture"".",8.82,,False,2026-08-09T09:58:06,
143,gemma-4-26b-a4b-it,V1,abstract,ML,DL,"*   Abstract content: Discusses ""Deep neural nets"", ""overfitting"", ""Dropout"" technique (randomly dropping units during training), ""thinned networks"", ""regularization methods"", and performance on ""supervised learning tasks in vision, speech recognition, document classification and computational biology"".
    *   Key terms: ""Deep neural nets"", ""neural network"", ""dropout"", ""training"", ""test time"", ""regularization"".

    *   AI: General AI, symbolic reasoning, expert systems. (The paper is specifically about a technique for neural networks).
    *   ML: Classical ML (SVMs, trees, clustering, etc.). (While dropout is used in ML, it is specifically a technique for neural networks).
    *   DL: Neural network architectures, CNNs, RNNs, transformers, deep reinforcement learning. (Dropout is a fundamental technique used within deep learning architectures to prevent overfitting).
    *   Unclear: Mix of categories/insufficient info. (The contribution is very clearly about a deep learning technique).
    *   None: Not about AI/ML/DL. (This is definitely about DL).

    *   The paper introduces ""Dropout"", which is a regularization technique specifically designed for and applied to ""Deep neural nets"".
    *   The primary contribution is a method to improve the training and performance of deep neural networks.
    *   Therefore, the category is DL.

    *   The user requested ""only the category name"".
DL",7.11,,False,2026-08-09T09:58:14,
144,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Topic: Sepsis mortality prediction.
    *   Methods mentioned: Federated learning (FL), ensemble-based machine learning models (Random Forest, LightGBM, XGBoost, K-Nearest Neighbors, Logistic Regression), Explainable AI (XAI) (SHAP, LIME, PDP).
    *   Primary contribution: A hybrid framework integrating federated learning with ensemble-based machine learning models and XAI for sepsis mortality prediction.
    *   Key techniques: Random Forest, LightGBM, XGBoost, K-Nearest Neighbors, Logistic Regression. These are classical machine learning models.

    *   AI: General AI, symbolic reasoning, expert systems. (The paper uses ML/DL, so this is too broad/incorrect).
    *   ML: Classical machine learning (supervised/unsupervised, tree-based, SVMs, clustering, feature engineering).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, DRL).
    *   Unclear: Mix of multiple categories, unable to assign.
    *   None: Not about AI/ML/DL.

    *   The paper uses Random Forest, LightGBM, XGBoost, K-Nearest Neighbors, and Logistic Regression.
    *   These are all explicitly listed under the ""ML"" category (tree-based methods, classical machine learning).
    *   While it mentions ""Federated Learning"" (which can be applied to DL) and ""XAI"", the core models used for prediction are classical ML models.
    *   There is no mention of neural networks, CNNs, RNNs, or Transformers (DL).

    *   The primary contribution is the framework using ensemble-based machine learning models.
    *   The models used (Random Forest, XGBoost, etc.) fall squarely into the ML category.

    *   ML.
ML",60.0,,False,2026-08-09T09:58:15,
145,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Topic: Acute ischemic stroke (AIS) and the role of AI/ML/DL in care.
    *   Content: Systematic review of AI, ML, and DL applications in lesion segmentation and outcome forecasting.
    *   Key technical mentions: ""artificial intelligence (AI), particularly machine learning and deep learning"", ""lesion segmentation"" (often DL), ""outcome prediction"" (often ML/DL), ""Dice coefficients"" (metric for segmentation, usually DL), ""area under the curve"" (metric for prediction, usually ML/DL), ""multimodal data"", ""demographic biases"", ""explainable AI"".
    *   Nature of the paper: It is a *systematic review* of how these technologies are used in a specific medical field.

    *   *AI*: General approaches, symbolic reasoning, etc. The abstract mentions AI as the umbrella term.
    *   *ML*: Classical ML (supervised/unsupervised, trees, SVMs, etc.).
    *   *DL*: Neural networks (CNNs, RNNs, transformers, etc.).
    *   *Unclear*: Mix of multiple categories making it impossible to assign one.
    *   *None*: Not about AI/ML/DL.

    *   The abstract explicitly states it examines ""how artificial intelligence (AI), particularly machine learning and deep learning, can enhance AIS care"".
    *   It discusses both segmentation (typically DL) and outcome prediction (can be ML or DL).
    *   It covers a broad range of AI applications in a medical context.
    *   Since it is a *systematic review* covering AI, ML, and DL as a whole within",8.89,,False,2026-08-09T09:58:25,
146,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: General AI, symbolic reasoning, expert systems, or non-ML/DL specific.
        *   ML: Classical ML (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
        *   DL: Neural networks (CNNs, RNNs, transformers, DRL).
        *   Unclear: Mix of categories making it impossible to pick one primary.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   *Context:* E-commerce, predicting buying intentions.
    *   *Methods mentioned:*
        *   ""integrates Artificial Intelligence (AI) and advanced statistical methods""
        *   ""machine learning (ML) models and Structural Equation Modelling (SEM)""
        *   ""sentiment analysis, TF-IDF text vectorization, and predictive modelling""
        *   ""Logistic Regression, Random Forest, XGBoost"" (Classical ML)
        *   ""Neural Networks"" (DL)
        *   ""transformer-based model (DistilBERT)"" (DL)
        *   ""SEM framework"" (Statistical modeling)
        *   ""ensemble ML models"" (ML)
        *   ""SHAP-based interpretability"" (ML/XAI)
    *   *Primary Contribution:* The paper proposes a ""hybrid SEM-ML framework"" that combines statistical modeling (SEM) with predictive modeling (ML/DL) to predict consumer purchase intentions.

    *   The abstract uses:
        *   Classical ML: Logistic Regression, Random Forest, XGBoost, TF-IDF.
        *   DL: Neural Networks, DistilBERT (Transformer).
        *",8.81,,False,2026-08-09T09:58:34,
147,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Goal: Classify the abstract by its *primary* technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Context: Drug discovery.
    *   Problem: Time-consuming, inaccurate, high attrition, multi-objective optimization.
    *   Proposed Solution: ""a novel hybrid computational framework that integrates **Graph Convolutional Networks**, **Variational Autoencoders**, and **Uncertainty Aware Adaptive Multi-Objective Optimization-based Reinforcement Learning (UAAMOO-RL)**"".
    *   Key components:
        *   Graph Convolutional Networks (GCNs) -> Deep Learning (DL).
        *   Variational Autoencoders (VAEs) -> Deep Learning (DL).
        *   Reinforcement Learning (RL) -> Often categorized under DL when using neural networks (Deep RL), and the context here is a hybrid framework with GCNs and VAEs.
    *   Goal of the method: Generating drug molecules.
    *   Evaluation: QED pass rate, structural diversity, etc.

    *   AI: General approaches/symbolic reasoning. (The paper uses specific neural architectures).
    *   ML: Classical ML (SVMs, trees, etc.). (The paper uses GCNs and VAEs, which are deep learning).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, deep RL). (GCNs and VAEs are core DL architectures).
    *   Unclear: Mix of categories. (While it uses RL and optimization, the core architectures are GCNs and VAEs, which are distinctly DL).
    *   None: Not about AI/ML/DL. (It is clearly about AI/ML/DL).

    *   The primary technical",8.97,,False,2026-08-09T09:58:44,
148,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Abstract content: Discusses ""Bagging predictors"" (Bootstrap Aggregating). Mentions generating multiple versions of a predictor, aggregating them (averaging for numerical, plurality vote for class), using bootstrap replicates of the learning set. Mentions tests using ""classification and regression trees"" and ""subset selection in linear regression"". Focuses on improving accuracy through instability of the prediction method.
    *   Goal: Classify the primary technical contribution into one of the categories: AI, ML, DL, Unclear, None.

    *   *AI*: General AI, symbolic reasoning, expert systems. (Bagging is a specific statistical/machine learning technique, not general AI/symbolic reasoning).
    *   *ML*: Classical machine learning (supervised/unsupervised, tree-based methods, SVMs, clustering, feature engineering). (Bagging is a classic ensemble method used in ML, often applied to trees or linear models).
    *   *DL*: Neural network architectures (CNNs, RNNs, transformers, DRL). (Bagging is not specific to deep learning, though it can be used there, the abstract focuses on trees and linear regression).
    *   *Unclear*: Mix of categories or insufficient info. (The abstract is very clear about its focus).
    *   *None*: Not about AI/ML/DL. (This is definitely about ML).

    *   The paper describes ""Bagging"" (Bootstrap Aggregating).
    *   It mentions ""classification and regression trees"" and ""linear regression"".
    *   These are core components of classical machine learning.
    *   Bagging is an ensemble learning technique, which falls squarely under ML.

    *   Category: ML.
ML",72.32,,False,2026-08-09T09:59:58,
149,gemma-4-26b-a4b-it,V1,abstract,AI,DL,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Background:* Discusses retinal vascular diseases and the growth of AI/multimodal approaches for diagnosis/prognosis.
    *   *Methods:* Systematic review of studies applying ""AI or machine learning models"" integrating two or more data modalities.
    *   *Results:* Mentions ""Multimodal AI systems,"" ""fusion-based approaches,"" ""AUC values,"" ""Prognostic models,"" ""Hybrid and foundation models.""
    *   *Conclusion:* ""Multimodal AI demonstrates superior diagnostic and prognostic performance...""

    *   The paper is a *systematic review* of existing studies.
    *   The studies being reviewed use ""AI or machine learning models.""
    *   The abstract mentions ""foundation models"" (which are typically DL) and ""multimodal AI.""
    *   However, the *primary contribution* of this specific paper is a systematic review of the *application* of AI/ML in a specific medical field (retinal diseases).
    *   Does it propose a new AI algorithm? No.
    *   Does it propose a new ML method? No.
    *   Does it propose a new DL architecture? No.
    *   It synthesizes existing evidence on the *use* of these technologies.

    *   *AI:* General AI approaches, symbolic reasoning, expert systems, or work not specific to ML/DL.
    *   *ML:* Classical machine learning.
    *   *DL:* Neural network architectures.
    *   *Unclear:* Mix of multiple categories, unable to assign individual categories.
    *   *None:* Not about AI, ML, or DL.

    *Wait*,",9.04,,False,2026-08-09T10:00:08,
150,gemma-4-26b-a4b-it,V1,abstract,ML,TRUNCATED,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: Symbolic reasoning, expert systems, general AI.
        *   ML: Classical ML (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
        *   DL: Neural networks (CNN, RNN, transformers, DRL).
        *   Unclear: Mix of categories or insufficient info.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   Topic: Ship collision accidents, risk mechanisms, and consequence formation.
    *   Methodology: ""develops a data-driven Bayesian Network framework"", ""constructed using a Tree-Augmented Naive Bayes (TAN) structure"", ""trained on a long-term dataset"".
    *   Other methods mentioned: ""spatial analysis based on accident coordinates reveals distinct geographical clustering patterns"".
    *   Primary contribution: A Bayesian Network framework (specifically Tree-Augmented Naive Bayes) to analyze and predict consequences.

    *   Bayesian Networks and Naive Bayes (including Tree-Augmented Naive Bayes) are classic probabilistic graphical models.
    *   In the context of the provided categories:
        *   DL? No, no neural networks mentioned.
        *   AI? While Bayesian networks are part of AI, the category ""ML"" specifically includes ""supervised/unsupervised learning"" and ""classical machine learning"". Bayesian networks are a core part of classical machine learning/probabilistic modeling.
        *   ML? Yes. Naive Bayes and its variants (TAN) are standard classical machine learning techniques.
        *   Unclear? The primary contribution is clearly the Bayesian Network model.
        *   None? The paper is definitely about a data-driven",8.92,,False,2026-08-09T10:00:18,truncated_no_verdict
151,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Task: Classify academic paper abstracts by their primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.
    *   Input: A list of paper titles/descriptions from a conference proceedings.

    *   ""The proceedings contain 35 papers..."" (This is a collection of titles, not a single abstract).
    *   Titles included:
        1.  Geo-Intelligent Wildfire Risk Prediction Using **Machine Learning** (ML)
        2.  Quantum Feature Mapping in **QSVMs**... (ML)
        3.  harnessing **Machine Learning**... (ML)
        4.  Semi-Supervised **Object Detection** Approaches (DL/ML - usually DL)
        5.  360° Virtual Reality Technology in Nursing Education (None/AI incidental)
        6.  Homomorphic Encryption... in the Context of **Artificial Intelligence** (AI/Security)
        7.  MLA-Net: **Attention-Driven MobileNet–LSTM** Framework... (DL)
        8.  Multi-Model Analytical Framework for Sentiment Dynamics (Unclear/ML)
        9.  Cybersecurity **RAG: Retrieval-Augmented Generation**... (DL/LLM)
        10. Security Enforcement... in Cloud Integrated UAV Swarm (None/Security)
        11. DANTE.v2: ... **LSTM-Based** Approach... (DL)
        12. A **Machine Learning** Study... (ML)
        13. **deep Reinforcement Learning**... (DL)
        14. hyperparameter Tuning... Using **Machine Learning** (ML)
        15. detecting Fake Instagram Accounts Using **Machine Learning** (ML)
        16. Sentiment Polarity",9.04,,False,2026-08-09T10:00:28,
152,gemma-4-26b-a4b-it,V1,abstract,ML,TRUNCATED,"*   Goal: Classify the abstract by its *primary technical contribution*.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Background:* Discusses breath biomarkers for early-stage detection of viral respiratory infections.
    *   *Methods:* Developed a screening model using portable GC-MS and an ""artificial intelligence (AI) model."" Specifically mentions: ""This platform employs **machine learning algorithms** to enhance the specificity and sensitivity of the model.""
    *   *Results:* Mentions diagnostic signatures (1-nonanethiol, 2-butanone, etc.) and performance metrics (sensitivity, specificity, AUC).
    *   *Conclusion:* Presents a diagnostic model for identifying breath biomarkers.

    *   The abstract mentions ""artificial intelligence (AI) model"" and ""machine learning algorithms.""
    *   It does *not* mention specific neural network architectures (CNNs, RNNs, Transformers, etc.), which would point to DL.
    *   It mentions ""machine learning algorithms"" generally to enhance specificity/sensitivity.
    *   The primary contribution is the development of a screening model using machine learning to analyze GC-MS data.

    *   AI: General AI, symbolic reasoning, expert systems. (The abstract uses ""AI"" as a broad term, but specifically calls out ""machine learning algorithms"").
    *   ML: Classical machine learning (supervised/unsupervised, tree-based, SVMs, etc.). The abstract says ""machine learning algorithms"" are used to enhance the model.
    *   DL: Neural networks. No mention of deep learning or specific architectures.
    *   Unclear: Mix of multiple categories. While it mentions AI and ML, ""ML"" is the more specific technical description provided for the method used.
    *   None: Not",96.81,,False,2026-08-09T10:02:06,truncated_no_verdict
153,gemma-4-26b-a4b-it,V1,abstract,Unclear,Unclear,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Constraint: Respond with *only* the category name.
    *   Primary Contribution: The core technical method used.

    *   Topic: Detecting insider threats in cybersecurity.
    *   Methods mentioned:
        *   ""investigates artificial intelligence (AI) and machine learning (ML)"" (General context).
        *   ""Explainable AI (XAI)"" (Context/Feature).
        *   ""hybrid model combines anomaly detection and behavioral analytics"".
        *   ""uses supervised and unsupervised techniques like **auto-encoders** and **Isolation Forests** classifiers.""
    *   Key technical components:
        *   *Isolation Forests*: Classical ML (tree-based/ensemble).
        *   *Auto-encoders*: Deep Learning (neural network architecture).

    *   AI: General approaches, symbolic reasoning, etc. (The paper uses specific ML/DL techniques, so this is too broad).
    *   ML: Classical ML (supervised/unsupervised, tree-based, SVMs, clustering).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, auto-encoders).
    *   Unclear: Mix of multiple categories making it impossible to assign one.
    *   None: Not about AI/ML/DL.

    *   The paper uses *both* Isolation Forests (ML) and Auto-encoders (DL).
    *   The abstract says: ""The suggested hybrid model... uses supervised and unsupervised techniques like auto-encoders and Isolation Forests classifiers.""
    *   Since the model is a ""hybrid"" of a classical ML method (Isolation Forest) and a DL method (Auto-encoder), and the prompt defines ""Unclear"" as ""there is a mix of multiple categories in the",9.04,,False,2026-08-09T10:02:16,
154,gemma-4-26b-a4b-it,V1,abstract,Unclear,AI,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   ""Motivated by the historical use and increasing relevance of artificial intelligence (AI) in wildfire management, this study reviews the role of AI in wildfire management through a bibliometric study...""
    *   ""The analysis identifies four thematic clusters: (1) geospatial and climatic analysis... (2) technological and algorithmic advancements... (3) machine learning–driven wildfire prediction...""
    *   ""This study contributes to a systematic understanding of current AI approaches in wildfire research...""

    *   The paper is a *bibliometric study* (a review/analysis of existing literature).
    *   It reviews the *role of AI* in wildfire management.
    *   It does *not* propose a new AI algorithm, a new ML model, or a new DL architecture.
    *   The primary contribution is a systematic review/bibliometric analysis of the field of AI in wildfire management.

    *   *AI*: General AI approaches, symbolic reasoning, expert systems, or work not specific to ML/DL.
    *   *ML*: Classical machine learning.
    *   *DL*: Neural network architectures.
    *   *Unclear*: Mix of multiple categories/not enough info.
    *   *None*: Not about AI, ML, or DL (terms appear incidentally).

    *   Is the paper's *primary technical contribution* an AI method? No, it's a bibliometric study *about* AI.
    *   However, the categories provided are for the *technical contribution*.
    *   If a paper is a review of AI, does it fall under ""AI""?
    *   Let's look at the ""AI",8.82,,False,2026-08-09T10:02:25,
155,gemma-4-26b-a4b-it,V1,abstract,AI,Unclear,"*   Goal: Classify the abstract by its *primary technical contribution*.
    *   Categories: AI (symbolic, expert systems, general), ML (classical), DL (neural networks), Unclear (mix/insufficient info), None (not about AI/ML/DL).
    *   Constraint: Respond with *only* the category name.

    *   ""The rise of artificial intelligence (AI) and its rapidly expanding tools is revolutionizing various sectors, with education standing out as a profoundly affected domain...""
    *   ""This study proposes an AI-enriched digital Educational Framework (AIEDF) based on a newly developed Holistic Digital Literacy Framework (HDLF)...""
    *   ""It investigates the essential AI competencies for preparing young learners...""
    *   ""Initially, four established digital education frameworks are analyzed and synthesized to create HDLF...""
    *   ""The resulting AIEDF is then aligned with Bloom’s taxonomy...""
    *   ""It is designed to support structured AI education...""

    *   The paper is about *education* and *curriculum/framework development*.
    *   It discusses ""AI competencies"" and ""AI-enriched digital Educational Frameworks"".
    *   It mentions ""Machine Learning Basics"" as a subtopic within the framework.
    *   It does *not* propose a new AI algorithm, a new ML model, a new DL architecture, or a new symbolic reasoning method.
    *   The *contribution* is a framework for teaching AI, not a technical advancement in AI/ML/DL itself.

    *   AI: General AI approaches/symbolic reasoning/expert systems. (The paper is about *teaching* AI, not a new AI approach).
    *   ML: Classical ML. (Not the contribution).
    *   DL: Neural networks. (Not the contribution).
    *   Unclear:",8.89,,False,2026-08-09T10:02:35,
156,gemma-4-26b-a4b-it,V1,missing,,NO_INPUT,,0.0,no abstract available,False,2026-08-09T10:02:35,
157,gemma-4-26b-a4b-it,V1,abstract,AI,AI,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Topic: Multimodal data integration for Alzheimer's Disease (AD) diagnosis/prognosis.
    *   Content: Systematic review of AI-driven multimodal fusion approaches.
    *   Key elements mentioned:
        *   ""AI-driven multimodal fusion approaches""
        *   ""data harmonization and preprocessing techniques"" (neuroimaging, EEG, genomic)
        *   ""fusion strategies... data-level, feature-level, decision-level, and temporal""
        *   ""explainable AI (XAI) techniques""
        *   ""multimodality, explainability, and methodological rigor""
    *   Technical focus: The paper reviews *how* different types of data are fused and how explainability is applied. It mentions ""AI-driven"" and ""XAI"". It discusses fusion paradigms (data, feature, decision, temporal).

    *   *AI*: General AI approaches, symbolic reasoning, expert systems, or work not specific to ML/DL.
    *   *ML*: Classical machine learning (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
    *   *DL*: Neural network architectures (CNNs, RNNs, transformers, DRL).
    *   *Unclear*: Mix of multiple categories, unable to assign individual.
    *   *None*: Not about AI/ML/DL.

    *   The abstract discusses ""AI-driven multimodal fusion approaches"".
    *   It mentions ""fusion strategies... data-level, feature-level, decision-level, and temporal"". These are common in both ML and DL.
    *   It mentions ""explainable AI (X",9.27,,False,2026-08-09T10:02:46,
158,gemma-4-26b-a4b-it,V1,abstract,Unclear,AI,"*   Goal: Classify the abstract by its *primary technical contribution*.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   *Topic:* Microalgae as a sustainable protein source to address food and water insecurity.
    *   *Context:* Transitioning from resource-intensive food systems to sustainable alternatives.
    *   *Technical mention 1:* ""particular attention is given to the role of computational biology and artificial intelligence (AI)–enabled strategies in overcoming cultivation and process optimisation bottlenecks.""
    *   *Technical mention 2:* ""Recent advances demonstrate that artificial intelligence (AI) approaches, particularly machine learning (ML), alongside Internet of Things (IoT)-based sensing, can significantly improve resource-use efficiency...""
    *   *Technical mention 3:* ""...the growing application of multi-omics and systems biology tools is generating high-resolution datasets that are increasingly important for the development, validation, and deployment of robust ML models.""
    *   *Summary:* ""...systematically examining ML applications across the microalgal bioprocess value chain.""

    *   The paper is a *review* about microalgae production.
    *   The *subject matter* is microalgae/food security/water security.
    *   The *technical lens* used to discuss improvements in this field is AI and ML.
    *   Does the paper contribute a *new* AI/ML algorithm? No, it's a review of how AI/ML is applied to microalgae.
    *   Is the *primary technical contribution* an AI/ML method? The abstract says it ""systematically examines ML applications across the microalgal bioprocess value chain.""
    *   Let's look at the categories again:
        *   AI: general artificial intelligence approaches, symbolic",21.05,,False,2026-08-09T10:03:08,
159,gemma-4-26b-a4b-it,V1,abstract,Unclear,AI,"*   Goal: Classify the abstract by its *primary* technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Topic: Sustainable agriculture in arid regions (date palm cultivation).
    *   Methodology: ""AI-enabled smart farming framework"", ""integration of Machine Learning (ML) and Internet of Things (IoT)"".
    *   Specific Techniques mentioned:
        *   Random Forest (RF)
        *   Gradient Boosting Machine (GBM)
        *   Artificial Neural Network (ANN)
        *   Support Vector Machine (SVM)
    *   Task: Classify palm health and support irrigation management.
    *   Results: Random Forest achieved 95.3% accuracy.
    *   Key focus: Using specific algorithms (RF, GBM, SVM) to classify data.

    *   *AI*: General approaches, symbolic reasoning, expert systems. While the abstract uses the term ""AI-enabled"", the specific technical contribution is the application of specific learning algorithms.
    *   *ML*: Classical machine learning (supervised/unsupervised, tree-based, SVMs, clustering). The paper uses RF (tree-based), GBM (tree-based), and SVM.
    *   *DL*: Neural network architectures (CNNs, RNNs, transformers). It mentions ""Artificial Neural Network (ANN)"". However, ANNs are often categorized under ML in a broad sense unless they are deep/complex architectures (CNN/RNN/Transformer). The primary success mentioned is Random Forest.
    *   *Unclear*: Mix of multiple categories. The abstract mentions AI, ML, and ANN. However, the core technical work is the application of ML algorithms (RF, GBM, SVM) to a dataset.
    *   *None*: Not about AI/",8.87,,False,2026-08-09T10:03:18,
160,gemma-4-26b-a4b-it,V1,abstract,ML,DL,"*   Topic: Detecting machine-generated (LLM) Spanish text.
    *   Methodology:
        *   Hybrid framework using a tri-layer feature fusion strategy.
        *   Layers: Structural stylometry (symbolic), probabilistic surprisal/perplexity (statistical), topical-aware semantic contrast (contextual).
        *   Mechanism: Anchoring linguistic representations in latent thematic clusters.
        *   Processing: Multi-model stacking ensemble combining diverse learning architectures.
    *   Goal: Classification (human vs. machine).
    *   Evaluation: F1-score on Spanish datasets.

    *   AI: General AI, symbolic reasoning, expert systems. (The paper mentions ""symbolic layer"" but the core is a classification task using features and ensembles).
    *   ML: Classical ML (supervised/unsupervised, tree-based, SVMs, clustering, feature engineering).
    *   DL: Neural networks (CNNs, RNNs, transformers, deep RL).
    *   Unclear: Mix of categories, unable to assign.
    *   None: Not about AI/ML/DL.

    *   The paper uses ""probabilistic surprisal via perplexity"" (often associated with language models/DL) and ""topical-aware semantic contrast"" (often associated with embeddings/DL).
    *   It uses a ""multi-model stacking ensemble that combines diverse learning architectures"".
    *   The core contribution is a *hybrid framework* involving feature engineering (stylometry, perplexity, semantic contrast) and an ensemble method.
    *   While it deals with LLMs (which are DL), the *contribution* is the detection framework using a combination of statistical, symbolic, and semantic features processed via an ensemble.
    *   Does it rely primarily on a specific neural architecture (DL)? It mentions ""diverse learning architectures"" and ""latent thematic clusters"". It",8.92,,False,2026-08-09T10:03:28,
161,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Topic: Optimization of electrochemical devices (electrolyzers and fuel cells) for a hydrogen economy.
    *   Core Content: Reviewing the shift from physics-based modeling to AI/ML frameworks.
    *   Specific Techniques Mentioned: AI/ML architectures, surrogate models, prognostic health management (PHM), adaptive control, physics-informed neural networks (PINNs), deep learning (DL), explainable AI (XAI).
    *   Primary Contribution: The paper is a *review* of how AI/ML/DL techniques are being applied to electrochemical devices.

    *   AI: General AI, symbolic reasoning, etc.
    *   ML: Classical ML (supervised/unsupervised, trees, SVMs, etc.).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, PINNs, etc.).
    *   Unclear: Mix of multiple categories, unable to assign one.
    *   None: Not about AI/ML/DL.

    *   The abstract mentions AI, ML, and DL.
    *   It specifically highlights ""physics-informed neural networks (PINNs)"" and ""deep learning (DL)"".
    *   The paper is a review of the application of these technologies.
    *   Does it focus on a *specific* new ML/DL algorithm (which would make it ML or DL)? Or is it a broad review of the field's application?
    *   The prompt asks for the *primary technical contribution*.
    *   The abstract says: ""This review outlines the change in thinking... It details how AI/ML architectures facilitate... Furthermore, it analyzes emerging hybrid strategies, namely physics-informed neural networks (PINNs)...""
    *   The mention of PINNs (a deep learning architecture) and the discussion of the ""black-box nature of deep learning"" suggests a strong focus on DL.",9.22,,False,2026-08-09T10:03:38,
